date,open,high,low,close,volume,amount
2020-10-19,3493.6599,3502.4199,3419.9299,3426.9199,2190496245,7580720000000
2020-10-20,3439.3799,3476.9299,3435.6499,3443.1201,2113617250,7289380000000
2020-10-21,3439.9099,3464.8601,3433.0601,3435.5601,2069874908,7127300000000
2020-10-22,3438.5,3460.53,3415.3401,3453.49,2386790971,8215250000000
2020-10-23,3464.8999,3466.46,3440.45,3465.3899,2161970435,7478900000000
2020-10-26,3441.4199,3441.4199,3364.8601,3400.97,2434639909,8307400000000
2020-10-27,3403.1499,3409.51,3388.71,3390.6799,2377161312,8077620000000
2020-10-28,3342.48,3342.48,3268.8899,3271.03,3147816269,10407400000000
2020-10-29,3277.1699,3341.05,3259.8201,3310.1101,2740394478,9035180000000
2020-10-30,3293.5901,3304.9299,3233.9399,3269.96,3007795216,9852350000000
2020-11-02,3296.2,3330.1399,3279.74,3310.24,2527875581,8352300000000
2020-11-03,3336.25,3389.49,3336.25,3369.1599,2329419282,7821690000000
2020-11-04,3406.46,3486.25,3405.1699,3443.4399,2903448029,9974300000000
2020-11-05,3485.74,3529.05,3485.74,3510.45,2557809196,8959350000000
2020-11-06,3508.3401,3521.5801,3484.3401,3509.4399,2167666491,7599680000000
2020-11-09,3583.04,3645.99,3547.48,3550.5,5064547274,18140000000000
2020-11-10,3543.26,3557.22,3511.9099,3545.53,3448216386,12204900000000
2020-11-11,3563.22,3581.1599,3557.0,3572.6599,2507688888,8948710000000
2020-11-12,3562.6699,3569.02,3518.5801,3537.01,2402811380,8522340000000
2020-11-13,3552.5701,3593.6599,3552.5701,3585.1499,2273000532,8116860000000
2020-11-16,3600.1599,3628.51,3600.1599,3626.9099,2859253753,10333200000000
2020-11-17,3610.3101,3623.1101,3588.6799,3609.53,2404417306,8674920000000
2020-11-18,3612.0901,3619.0901,3567.3301,3567.79,2683278560,9637200000000
2020-11-19,3559.4099,3585.22,3543.8401,3581.8701,2276561473,8121830000000
2020-11-20,3579.3101,3581.23,3556.8501,3557.54,2224931806,7940190000000
2020-11-23,3566.8201,3589.8101,3552.77,3577.5901,2513050446,8975980000000
2020-11-24,3594.52,3642.3101,3594.52,3635.4099,3188008724,11530000000000
2020-11-25,3635.5,3635.5,3617.76,3629.6499,2321815046,8427270000000
2020-11-27,3638.55,3644.3101,3629.3301,3638.3501,1218009418,4430670000000
2020-11-30,3634.1799,3634.1799,3594.3899,3621.6299,3647661568,13208500000000
2020-12-01,3645.8701,3678.45,3645.8701,3662.45,2636959816,9646420000000
2020-12-02,3653.78,3670.96,3644.8401,3669.01,2374370502,8689360000000
2020-12-03,3668.28,3682.73,3657.1699,3666.72,2643146959,9696980000000
2020-12-04,3670.9399,3699.2,3670.9399,3699.1201,2556167753,9419610000000
2020-12-07,3694.73,3697.4099,3678.8799,3691.96,2342275038,8644740000000
2020-12-08,3683.05,3708.45,3678.8301,3702.25,2268154082,8376620000000
2020-12-09,3705.98,3712.3899,3660.54,3672.8201,2749560079,10140200000000
2020-12-10,3659.1299,3678.49,3645.1799,3668.1001,2390202914,8754660000000
2020-12-11,3656.0801,3665.9099,3633.3999,3663.46,2311662756,8448460000000
2020-12-14,3675.27,3697.6101,3645.8401,3647.49,2508893728,9198990000000
2020-12-15,3666.4099,3695.29,3659.6201,3694.6201,2512243045,9242500000000
2020-12-16,3696.25,3711.27,3688.5701,3701.1699,2245020783,8305040000000
2020-12-17,3713.6499,3725.1201,3710.8701,3722.48,2195077598,8161360000000
2020-12-18,3722.3899,3726.7,3685.8401,3709.4099,4274404736,15862700000000
2020-12-21,3684.28,3702.8999,3636.48,3694.9199,2644225553,9729810000000
2020-12-22,3698.0801,3698.26,3676.1599,3687.26,2173874864,8021470000000
2020-12-23,3693.4199,3711.24,3689.28,3690.01,1825277116,6746200000000
2020-12-24,3694.03,3703.8201,3689.3201,3703.0601,806346710,2981510000000
2020-12-28,3723.03,3740.51,3723.03,3735.3601,1651103623,6159410000000
2020-12-29,3750.01,3756.1201,3723.3101,3727.04,1639530130,6130400000000
2020-12-30,3736.1899,3744.6299,3730.21,3732.04,1559438081,5825700000000
2020-12-31,3733.27,3760.2,3726.8799,3756.0701,1661516485,6220890000000
2021-01-04,3764.6101,3769.99,3662.71,3700.6499,2732813113,10178300000000
2021-01-05,3698.02,3737.8301,3695.0701,3726.8601,2352635300,8738730000000
2021-01-06,3712.2,3783.04,3705.3401,3748.1399,3171958843,11854200000000
2021-01-07,3764.71,3811.55,3764.71,3803.79,2571777491,9737240000000
2021-01-08,3815.05,3826.6899,3783.6001,3824.6799,2381318227,9078790000000
2021-01-11,3803.1399,3817.8601,3789.02,3799.6101,2319343591,8819090000000
2021-01-12,3801.6201,3810.78,3776.51,3801.1899,2629158679,9984300000000
2021-01-13,3802.23,3820.96,3791.5,3809.8401,2333148908,8880270000000
2021-01-14,3814.98,3823.6001,3792.8601,3795.54,2708312930,10309900000000
2021-01-15,3788.73,3788.73,3749.6201,3768.25,2744945352,10359000000000
2021-01-19,3781.8799,3804.53,3780.3701,3798.9099,2461801091,9333730000000
2021-01-20,3816.22,3859.75,3816.22,3851.8501,2344848584,8994860000000
2021-01-21,3857.46,3861.45,3845.05,3853.0701,2571609185,9911640000000
2021-01-22,3844.24,3852.3101,3830.4099,3841.47,2287817476,8790040000000
2021-01-25,3851.6799,3859.23,3797.1599,3855.3601,2785380610,10698200000000
2021-01-26,3862.96,3870.8999,3847.78,3849.6201,2557931593,9868030000000
2021-01-27,3836.8301,3836.8301,3732.48,3750.77,3797984292,14391400000000
2021-01-28,3755.75,3830.5,3755.75,3787.3799,3250270662,12293600000000
2021-01-29,3778.05,3778.05,3694.1201,3714.24,3311608119,12389100000000
2021-02-01,3731.1699,3784.3201,3725.6201,3773.8601,2442012605,9166690000000
2021-02-02,3791.8401,3843.0901,3791.8401,3826.3101,2415359604,9210420000000
2021-02-03,3840.27,3847.51,3816.6799,3830.1699,2264656289,8681920000000
2021-02-04,3836.6599,3872.4199,3836.6599,3871.74,2363442591,9109580000000
2021-02-05,3878.3,3894.5601,3874.9299,3886.8301,2127359020,8261930000000
2021-02-08,3892.5901,3915.77,3892.5901,3915.5901,2160498978,8434880000000
2021-02-09,3910.49,3918.3501,3902.6399,3911.23,2063161038,8068360000000
2021-02-10,3920.78,3931.5,3884.9399,3909.8799,2281972857,8926560000000
2021-02-11,3916.3999,3925.99,3890.3899,3916.3799,2125420320,8315260000000
2021-02-12,3911.6499,3937.23,3905.78,3934.8301,1813489527,7113180000000
2021-02-16,3939.6101,3950.4299,3923.8501,3932.5901,2292435291,9024450000000
2021-02-17,3918.5,3933.6101,3900.4299,3931.3301,2132045229,8359680000000
2021-02-18,3915.8601,3921.98,3885.03,3913.97,2006038034,7842020000000
2021-02-19,3921.1599,3930.4099,3903.0701,3906.71,2302434831,9014810000000
2021-02-22,3885.55,3902.9199,3874.71,3876.5,2750709131,10686300000000
2021-02-23,3857.0701,3895.98,3805.5901,3881.3701,2945010328,11367700000000
2021-02-24,3873.71,3928.6499,3859.6001,3925.4299,2782650674,10843600000000
2021-02-25,3915.8,3925.02,3814.04,3829.3401,2924106301,11319400000000
2021-02-26,3839.6599,3861.0801,3789.54,3811.1499,3120007466,11935100000000
2021-03-01,3842.51,3914.5,3842.51,3901.8201,2406150594,9324640000000
2021-03-02,3903.6399,3906.4099,3868.5701,3870.29,2284948535,8882120000000
2021-03-03,3863.99,3874.47,3818.8601,3819.72,2719094648,10452900000000
2021-03-04,3818.53,3843.6699,3723.3401,3768.47,3443249365,13044800000000
2021-03-05,3793.5801,3851.6899,3730.1899,3841.9399,3325429131,12651100000000
2021-03-08,3844.3899,3881.0601,3819.25,3821.3501,2991626851,11492400000000
2021-03-09,3851.9299,3903.76,3851.9299,3875.4399,2779403380,10758400000000
2021-03-10,3891.99,3917.3501,3885.73,3898.8101,2661222204,10374700000000
2021-03-11,3915.54,3960.27,3915.54,3939.3401,2572183377,10115600000000
2021-03-12,3924.52,3944.99,3915.21,3943.3401,2272145272,8934110000000
2021-03-15,3942.96,3970.0801,3923.54,3968.9399,2393691238,9458380000000
2021-03-16,3973.5901,3981.04,3953.4399,3962.71,2367135990,9392070000000
2021-03-17,3949.5701,3983.8701,3935.74,3974.1201,2447967771,9695970000000
2021-03-18,3953.5,3969.6201,3910.8601,3915.46,2682168535,10560700000000
2021-03-19,3913.1399,3930.1201,3886.75,3913.1001,4639551690,18144300000000
2021-03-22,3916.48,3955.3101,3914.1599,3940.5901,2299904600,9042390000000
2021-03-23,3937.6001,3949.1299,3901.5701,3910.52,2496096710,9796440000000
2021-03-24,3919.9299,3942.0801,3889.0701,3889.1399,2416790107,9449780000000
2021-03-25,3879.3401,3919.54,3853.5,3909.52,2395034696,9317820000000
