date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2018-04-20,5984.06,5880.84,5999.01,5872.5,72391388,90559643648.0,2.11,-2.06,-123.89,0.65
2018-04-23,5885.61,5823.92,5913.57,5761.97,63952399,81374957568.0,2.58,-0.97,-56.92,0.57
2018-04-24,5825.45,5957.19,5957.83,5825.45,67954117,85162004480.0,2.27,2.29,133.27,0.61
2018-04-25,5929.41,5959.42,5968.88,5919.52,60382789,78868221952.0,0.83,0.04,2.23,0.54
2018-04-26,5951.19,5847.98,5955.26,5846.08,62638395,77107589120.0,1.83,-1.87,-111.44,0.56
2018-04-27,5865.44,5860.98,5886.0,5808.78,55997821,72295755776.0,1.32,0.22,13.0,0.5
2018-05-02,5861.84,5855.32,5894.46,5817.39,63147026,78765924352.0,1.31,-0.1,-5.66,0.56
2018-05-03,5843.09,5910.61,5911.09,5779.73,67604490,83816640512.0,2.24,0.94,55.29,0.6
2018-05-04,5891.12,5909.29,5939.95,5883.7,55464046,73639276544.0,0.95,-0.02,-1.32,0.5
2018-05-07,5921.31,6019.14,6023.19,5918.38,64033359,83485024256.0,1.77,1.86,109.85,0.57
2018-05-08,6023.58,6041.81,6042.07,6012.13,62194665,80480595968.0,0.5,0.38,22.67,0.56
2018-05-09,6034.46,6029.23,6042.91,6002.39,54124152,67413871104.0,0.67,-0.21,-12.58,0.48
2018-05-10,6036.01,6040.57,6052.71,5999.95,58310666,72313749504.0,0.88,0.19,11.34,0.52
2018-05-11,6044.98,5991.34,6052.54,5989.43,63847252,76807401472.0,1.04,-0.81,-49.23,0.57
2018-05-14,5982.47,5967.55,6008.89,5951.67,59798193,75641884672.0,0.96,-0.4,-23.79,0.53
2018-05-15,5972.16,6020.57,6021.02,5947.46,54721546,69542969344.0,1.23,0.89,53.02,0.49
2018-05-16,6002.75,6004.07,6045.03,5991.38,58338639,74115190784.0,0.89,-0.27,-16.5,0.52
2018-05-17,6000.74,5973.78,6010.3,5959.73,52997274,65967379712.0,0.84,-0.5,-30.29,0.47
2018-05-18,5968.56,5995.15,6000.95,5932.13,57868275,70899023872.0,1.15,0.36,21.37,0.52
2018-05-21,6034.43,6072.2,6080.82,6034.06,70722450,86933286912.0,0.78,1.29,77.05,0.63
2018-05-22,6066.25,6092.91,6092.91,6052.09,62266852,74429136896.0,0.67,0.34,20.71,0.56
2018-05-23,6080.73,6013.85,6081.53,6012.42,67845868,82629861376.0,1.13,-1.3,-79.06,0.61
2018-05-24,6014.02,5992.62,6028.5,5986.72,53711808,67066127872.0,0.69,-0.35,-21.23,0.48
2018-05-25,5983.94,5917.8,5992.48,5909.04,57793810,69492015104.0,1.39,-1.25,-74.82,0.52
2018-05-28,5910.48,5891.26,5938.07,5858.27,57810122,68653122304.0,1.35,-0.45,-26.54,0.52
2018-05-29,5884.59,5835.45,5921.72,5832.55,56179930,67901925120.0,1.51,-0.95,-55.81,0.5
2018-05-30,5759.45,5682.59,5778.04,5675.91,68527885,76127637504.0,1.75,-2.62,-152.86,0.61
2018-05-31,5722.95,5754.47,5760.2,5672.18,56008855,65192215296.0,1.55,1.26,71.88,0.5
2018-06-01,5729.92,5685.12,5759.5,5654.84,53833572,61533903616.0,1.82,-1.21,-69.35,0.48
